source,target,type,weight,groups
19,63,undirected,1,13SevenCrystalBalls|
19,68,undirected,1,13SevenCrystalBalls|
19,11,undirected,1,13SevenCrystalBalls|
19,56,undirected,1,13SevenCrystalBalls|
19,16,undirected,1,13SevenCrystalBalls|
63,68,undirected,1,13SevenCrystalBalls|
63,11,undirected,1,13SevenCrystalBalls|
63,56,undirected,1,13SevenCrystalBalls|
63,16,undirected,1,13SevenCrystalBalls|
68,11,undirected,1,13SevenCrystalBalls|
68,56,undirected,1,13SevenCrystalBalls|
68,16,undirected,1,13SevenCrystalBalls|
11,56,undirected,6,13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|
11,16,undirected,1,13SevenCrystalBalls|
89,36,undirected,1,14PrisonersOfSun|
89,92,undirected,1,14PrisonersOfSun|
89,86,undirected,1,14PrisonersOfSun|
76,36,undirected,1,14PrisonersOfSun|
76,92,undirected,1,14PrisonersOfSun|
76,86,undirected,1,14PrisonersOfSun|
17,36,undirected,1,14PrisonersOfSun|
17,92,undirected,1,14PrisonersOfSun|
17,86,undirected,1,14PrisonersOfSun|
62,36,undirected,1,14PrisonersOfSun|
62,92,undirected,1,14PrisonersOfSun|
62,86,undirected,1,14PrisonersOfSun|
88,36,undirected,1,14PrisonersOfSun|
88,92,undirected,1,14PrisonersOfSun|
88,86,undirected,1,14PrisonersOfSun|
19,36,undirected,1,14PrisonersOfSun|
19,92,undirected,1,14PrisonersOfSun|
19,86,undirected,1,14PrisonersOfSun|
36,92,undirected,1,14PrisonersOfSun|
36,86,undirected,1,14PrisonersOfSun|
92,86,undirected,1,14PrisonersOfSun|
89,51,undirected,2,15LandOfBlackGold|19RedSeaSharks|
89,01,undirected,2,15LandOfBlackGold|19RedSeaSharks|
89,08,undirected,2,15LandOfBlackGold|19RedSeaSharks|
76,51,undirected,2,15LandOfBlackGold|19RedSeaSharks|
76,01,undirected,2,15LandOfBlackGold|19RedSeaSharks|
76,08,undirected,2,15LandOfBlackGold|19RedSeaSharks|
17,51,undirected,2,15LandOfBlackGold|19RedSeaSharks|
17,01,undirected,2,15LandOfBlackGold|19RedSeaSharks|
17,08,undirected,2,15LandOfBlackGold|19RedSeaSharks|
17,57,undirected,2,15LandOfBlackGold|19RedSeaSharks|
17,27,undirected,2,15LandOfBlackGold|19RedSeaSharks|
62,51,undirected,1,15LandOfBlackGold|
62,01,undirected,1,15LandOfBlackGold|
62,08,undirected,1,15LandOfBlackGold|
62,57,undirected,1,15LandOfBlackGold|
62,27,undirected,1,15LandOfBlackGold|
88,51,undirected,1,15LandOfBlackGold|
88,01,undirected,1,15LandOfBlackGold|
88,08,undirected,1,15LandOfBlackGold|
